,average,yearpublished,minplayers,maxplayers,NEW_CAT_Family_Game,NEW_CAT_Heavy_Game,NEW_CAT_Party_Game,NEW_CAT_Strategy_Game
352,7.26505,1995,2.0,8.0,0,0,1,0
353,7.01521,2015,1.0,7.0,0,0,1,0
354,7.77679,2019,2.0,4.0,0,0,0,1
355,7.53277,2007,2.0,5.0,0,0,0,1
356,6.5717,2005,4.0,6.0,0,0,1,0
357,7.23741,2013,2.0,6.0,0,0,0,1
358,7.0215,2011,2.0,4.0,0,0,0,1
359,7.28457,2016,2.0,4.0,0,0,0,1
360,6.75068,2004,2.0,6.0,0,0,1,0
361,7.80787,2017,1.0,6.0,0,0,0,1
362,7.82347,2019,1.0,5.0,0,0,0,1
363,7.13484,2012,2.0,5.0,1,0,0,0
364,7.84555,2016,2.0,4.0,0,0,0,1
365,7.28781,2014,2.0,5.0,0,0,0,1
366,7.58018,2009,3.0,5.0,0,0,0,1
367,6.72103,1910,2.0,10.0,0,0,0,1
368,7.49766,2016,1.0,6.0,0,0,0,1
369,7.6705,2018,2.0,4.0,0,0,0,1
370,7.34138,2017,2.0,6.0,0,0,1,0
371,7.4502,2013,1.0,4.0,0,0,0,1
372,6.60248,2013,2.0,13.0,0,0,1,0
373,7.78395,2019,1.0,5.0,0,0,0,1
374,7.23789,2011,2.0,4.0,0,0,0,1
375,7.04329,2010,1.0,5.0,0,0,0,1
376,7.67633,2014,2.0,4.0,0,0,0,1
377,7.4379,2015,2.0,6.0,0,0,0,1
378,7.17673,2014,2.0,5.0,1,0,0,0
379,6.56514,2005,2.0,7.0,0,0,1,0
380,6.28629,2008,2.0,5.0,1,0,0,0
381,7.65406,2014,1.0,4.0,0,1,0,0
382,8.22543,2019,1.0,4.0,0,1,0,0
383,7.79549,2002,1.0,6.0,0,1,0,0
384,7.19633,2015,2.0,4.0,1,0,0,0
385,7.18625,2011,2.0,5.0,0,0,0,1
386,6.35967,2006,1.0,8.0,0,0,1,0
387,7.56695,2013,2.0,4.0,0,1,0,0
388,7.13349,2007,2.0,4.0,0,0,0,1
389,6.70789,2015,1.0,5.0,1,0,0,0
390,7.34869,2012,2.0,5.0,0,0,0,1
391,7.30325,2016,2.0,8.0,0,0,0,1
392,7.5006,2018,3.0,5.0,0,0,0,1
393,6.93715,1984,3.0,6.0,0,0,1,0
394,7.39533,2009,3.0,5.0,0,0,0,1
395,6.97108,2015,2.0,6.0,0,0,1,0
396,7.51093,2015,1.0,4.0,0,0,0,1
397,6.81673,2016,2.0,4.0,0,0,0,0
398,7.09414,2015,2.0,4.0,1,0,0,0
399,7.36387,2006,2.0,2.0,0,0,0,1
400,6.94233,2011,2.0,5.0,0,0,0,0
401,4.66067,1931,2.0,2.0,1,0,0,0
402,7.35387,1999,3.0,5.0,0,0,0,1
403,7.11822,2005,2.0,5.0,0,0,0,1
404,6.21736,1988,2.0,6.0,0,0,1,0
405,6.84736,1995,2.0,6.0,0,0,1,0
406,7.02758,2016,1.0,2.0,0,0,0,1
407,8.08363,2014,1.0,2.0,0,1,0,0
408,7.10844,1999,2.0,4.0,0,0,0,1
409,7.2369,2017,2.0,4.0,0,0,0,1
410,7.46285,2017,2.0,4.0,0,0,0,1
411,7.22263,2015,2.0,4.0,0,0,0,1
412,5.6828,1998,4.0,16.0,0,0,1,0
413,7.91124,2016,2.0,5.0,0,0,0,1
414,7.31151,2010,2.0,5.0,0,0,0,1
415,7.00519,2016,2.0,7.0,0,0,1,0
416,7.24536,2018,1.0,6.0,0,0,1,0
417,7.41347,2006,2.0,5.0,0,0,0,1
418,6.62512,1998,2.0,2.0,0,0,0,1
419,7.07166,2014,1.0,2.0,1,0,0,0
420,7.06812,1910,2.0,4.0,1,0,0,0
421,7.62041,2007,2.0,2.0,0,0,0,1
422,7.1814,2015,2.0,5.0,0,0,0,1
423,7.31311,2003,3.0,5.0,0,0,0,1
424,6.98235,2010,1.0,5.0,0,0,0,1
425,6.7644,1992,2.0,4.0,0,0,0,0
426,7.42839,2018,2.0,4.0,0,0,0,1
427,7.32005,1999,2.0,2.0,1,0,0,0
428,7.40665,2016,2.0,4.0,0,0,0,1
429,7.61236,2019,2.0,4.0,0,0,0,1
430,6.72057,2004,2.0,5.0,1,0,0,0
431,7.21489,2007,3.0,5.0,0,0,0,1
432,7.21491,2005,2.0,4.0,0,0,0,1
433,6.38658,1910,3.0,8.0,0,0,1,0
434,7.30509,2015,2.0,2.0,0,0,0,1
435,7.61802,2016,2.0,5.0,0,0,0,1
436,7.77482,2020,1.0,4.0,0,0,0,1
437,6.22636,2015,2.0,5.0,1,0,0,0
438,7.5429,2010,2.0,5.0,0,0,0,1
439,5.14339,1982,2.0,6.0,0,0,1,0
440,7.6089,2006,2.0,6.0,0,1,0,0
441,7.68962,2017,2.0,5.0,1,0,0,0
442,6.39783,1993,2.0,6.0,0,0,1,0
443,7.76969,2017,2.0,4.0,0,0,0,1
444,6.69579,1998,2.0,6.0,0,0,0,1
445,7.82101,2018,1.0,5.0,0,0,0,1
446,7.01437,1999,1.0,22.0,0,0,0,1
447,6.70296,2003,1.0,4.0,1,0,0,0
448,7.03768,2015,1.0,4.0,0,0,0,1
449,6.05687,1982,2.0,12.0,0,0,1,0
450,7.87863,2014,3.0,5.0,0,0,0,1
451,6.91666,2015,2.0,10.0,0,0,1,0
452,6.82129,2005,4.0,8.0,0,0,1,0
453,6.47455,2004,3.0,5.0,1,0,0,0
454,7.77528,2006,2.0,2.0,0,0,0,1
455,7.15615,2006,2.0,4.0,0,0,0,1
456,7.24514,2007,2.0,4.0,0,0,0,1
457,8.60553,2015,1.0,4.0,0,1,0,0
458,7.00399,2004,2.0,2.0,0,0,0,1
459,6.56824,2002,3.0,5.0,0,0,0,1
460,7.13645,2007,2.0,5.0,0,0,0,1
461,8.26483,2019,1.0,4.0,0,0,0,1
462,7.63023,2018,2.0,6.0,0,0,0,1
463,7.96903,2015,2.0,4.0,0,1,0,0
464,6.88553,2010,2.0,2.0,1,0,0,0
465,7.59075,2013,2.0,5.0,0,0,0,1
466,7.63129,2010,2.0,4.0,0,1,0,0
467,7.43439,2004,2.0,4.0,0,0,0,1
468,7.03765,2006,2.0,4.0,0,0,0,1
469,7.1532,2012,2.0,4.0,0,0,0,1
470,8.20115,2017,1.0,4.0,0,1,0,0
471,6.57425,2012,2.0,5.0,1,0,0,0
472,8.26024,2020,1.0,4.0,0,1,0,0
473,7.07751,2006,2.0,4.0,0,0,0,1
474,6.88339,2005,2.0,6.0,0,0,0,1
475,6.67095,2001,2.0,6.0,0,0,1,0
476,7.4085,2011,3.0,5.0,0,0,0,1
477,6.10947,2013,1.0,4.0,1,0,0,0
478,6.29748,2008,1.0,8.0,0,0,0,1
479,8.43174,2017,1.0,4.0,0,1,0,0
480,7.69763,2003,2.0,2.0,0,0,0,1
481,6.53729,1995,3.0,6.0,0,0,0,1
